"","hamming","rf","rrf","nniu","rspr","tbr"
"733",1,52,52,152,1,1
"734",1,18,18,21,1,1
"735",1,40,40,112,3,3
"736",1,2,2,1,1,1
"737",1,28,28,67,1,1
"738",1,4,4,3,2,2
"739",1,2,2,1,1,1
"740",1,58,58,170,1,1
"741",1,2,2,1,1,1
"742",1,0,2,0,1,0
"743",1,2,2,1,1,1
"744",1,10,10,10,1,1
"745",1,10,10,10,2,2
"746",1,22,22,52,1,1
"747",1,12,12,12,1,1
"748",1,4,4,3,2,2
"749",1,32,34,84,1,1
"750",1,2,2,1,1,1
"751",1,2,2,1,1,1
"752",1,4,4,3,2,2
"753",1,22,22,52,1,1
"754",1,6,6,5,2,2
"755",1,34,34,91,2,2
"756",1,6,6,5,1,1
"757",1,42,42,119,1,1
"758",1,2,2,1,1,1
"759",1,8,8,7,1,1
"760",1,6,6,5,2,2
"761",1,24,24,57,1,1
"762",1,30,30,72,1,1
"763",1,24,24,57,2,2
"764",1,18,18,21,1,1
"765",1,48,48,138,3,3
"766",1,18,18,21,1,1
"767",1,2,2,1,1,1
"768",1,34,34,91,3,3
"769",1,22,22,52,1,1
"770",1,32,32,84,1,1
"771",1,42,42,119,1,1
"772",1,4,4,3,2,2
"773",1,22,22,52,1,1
"774",1,16,16,18,3,3
"775",1,52,52,152,1,1
"776",1,10,10,10,1,1
"777",1,6,6,5,1,1
"778",1,2,4,1,2,1
"779",1,2,2,1,1,1
"780",1,26,26,62,1,1
"781",1,4,4,3,1,1
"782",1,2,2,1,1,1
"783",1,24,24,57,1,1
"784",1,26,26,62,1,1
"785",1,6,6,5,2,2
"786",1,22,22,52,1,1
"787",1,20,20,47,1,1
"788",1,2,2,1,1,1
"789",1,22,22,52,1,1
"790",1,22,22,52,1,1
"791",1,8,8,7,2,2
"792",1,0,2,0,1,0
"793",1,28,28,67,1,1
"794",1,30,30,72,2,2
"795",1,14,14,15,1,1
"796",1,34,34,91,1,1
"797",1,30,30,72,2,2
"798",1,8,8,7,2,2
"799",1,2,2,1,1,1
"800",1,2,2,1,1,1
"801",1,24,24,57,3,3
"802",1,16,16,18,1,1
"803",1,20,20,47,2,2
"804",1,12,12,12,1,1
"805",1,6,6,5,1,1
"806",1,2,2,1,1,1
"807",1,6,6,5,2,2
"808",1,2,2,1,1,1
"809",1,16,16,18,3,3
"810",1,2,2,1,1,1
"811",1,28,28,67,1,1
"812",1,2,2,1,1,1
"813",1,2,2,1,1,1
"814",1,14,14,15,2,2
"815",1,0,2,0,1,0
"816",1,0,2,0,1,0
"817",1,10,10,10,3,3
"818",1,16,16,18,1,1
"819",1,8,8,7,2,2
"820",1,30,30,72,1,1
"821",1,34,34,91,3,3
"822",1,24,24,57,2,2
"823",1,8,8,7,2,2
"824",1,4,4,3,2,2
"825",1,60,60,176,3,3
"826",1,42,42,119,1,1
"827",1,2,2,1,1,1
"828",1,22,22,52,1,1
"829",1,22,22,52,1,1
"830",1,22,22,52,1,1
"831",1,16,16,18,1,1
"832",1,8,8,7,2,2
"833",1,2,2,1,1,1
"834",1,58,58,170,2,2
"835",1,62,62,182,1,1
"836",1,18,18,21,2,2
"837",1,10,10,10,1,1
"838",1,18,18,21,2,2
"839",1,52,52,152,1,1
"840",1,2,2,1,1,1
"841",1,2,2,1,1,1
"842",1,4,4,3,2,1
"843",1,68,68,211,3,3
"844",1,38,38,105,1,1
"845",1,2,2,1,1,1
"846",1,48,48,138,1,1
"847",1,12,12,12,1,1
"848",1,22,22,52,1,1
"849",1,14,14,15,1,1
"850",1,50,50,145,3,3
"851",1,44,44,124,2,2
"852",1,34,34,91,1,1
"853",1,66,66,203,1,1
"854",1,8,8,7,1,1
"855",0,0,0,0,0,0
"856",1,24,24,57,1,1
"857",1,4,4,3,2,2
"858",1,12,12,12,3,3
"859",1,48,48,138,1,1
"860",1,2,2,1,1,1
"861",1,26,26,62,1,1
"862",1,12,12,12,3,3
"863",1,2,2,1,1,1
"864",1,16,16,18,1,1
"865",1,30,30,72,1,1
"866",1,28,28,67,2,2
"867",0,0,0,0,0,0
"868",1,52,52,152,1,1
"869",1,32,32,84,1,1
"870",1,38,38,105,1,1
"871",1,50,50,145,2,2
"872",1,14,14,15,1,1
"873",1,2,2,1,1,1
"874",1,16,16,18,2,2
"875",1,16,16,18,2,2
"876",1,14,14,15,3,3
"877",1,14,14,15,1,1
"878",1,46,46,131,1,1
"879",1,2,2,1,1,1
"880",1,20,20,47,1,1
