"","nni","spr","tbr"
"355",1,2,45
"356",4,2,38
"357",2,4,43
"358",1,4,7
"359",7,15,21
"360",7,1,2
"361",2,20,34
"362",1,1,1
"363",6,12,12
"364",5,11,20
"365",5,1,47
"366",1,3,14
"367",4,9,26
"368",21,20,1
"369",1,23,16
"370",7,1,2
"371",21,28,26
"372",8,17,3
"373",4,1,8
"374",1,1,35
"375",1,31,20
"376",2,2,1
"377",2,12,1
"378",1,17,16
"379",1,3,1
"380",9,17,13
"381",6,4,37
"382",1,33,1
"383",3,11,39
"384",10,25,30
"385",1,18,5
"386",3,7,11
"387",1,25,19
"388",4,23,18
"389",6,6,1
"390",13,22,35
"391",23,2,1
"392",3,35,51
"393",4,30,41
"394",24,14,9
"395",1,12,35
"396",1,24,28
"397",3,1,19
"398",10,30,21
"399",24,1,4
"400",15,14,14
"401",1,12,8
"402",8,26,5
"403",2,23,21
"404",1,2,23
"405",15,10,28
"406",2,29,3
"407",1,3,18
"408",1,4,50
"409",6,24,4
"410",23,32,29
"411",1,5,44
"412",2,1,28
"413",1,17,5
"414",21,24,28
"415",7,48,16
"416",1,13,5
"417",13,4,1
"418",2,28,5
"419",1,3,2
"420",6,25,32
"421",5,21,37
"422",2,11,2
"423",1,5,2
"424",24,2,3
"425",3,3,11
"426",5,1,19
"427",3,18,3
"428",1,9,35
"429",2,10,5
"430",1,15,16
"431",2,19,44
"432",5,19,8
"433",1,11,17
"434",1,36,13
"435",1,17,42
"436",3,3,34
"437",20,20,20
"438",1,10,3
"439",1,37,9
"440",3,28,3
"441",1,4,41
"442",7,21,48
"443",9,1,2
"444",10,20,26
"445",1,3,5
"446",1,1,29
"447",4,2,33
"448",3,5,6
"449",3,14,28
"450",5,18,55
"451",9,11,22
"452",1,14,20
"453",2,25,1
"454",1,14,6
"455",1,2,47
"456",2,3,8
"457",4,5,3
"458",3,24,18
"459",1,15,2
"460",1,32,13
"461",2,34,1
"462",20,37,16
"463",1,46,4
"464",1,9,4
"465",1,4,20
"466",2,5,17
"467",2,1,18
"468",22,18,48
"469",3,7,3
"470",17,4,3
"471",2,23,15
"472",7,2,3
"473",1,15,12
"474",2,42,40
"475",4,15,3
"476",4,2,27
"477",1,6,16
"478",1,5,40
"479",22,12,51
"480",8,28,24
"481",2,3,50
"482",1,7,6
"483",5,1,45
"484",11,2,16
"485",3,5,23
"486",1,27,18
"487",2,10,10
"488",7,21,2
"489",1,13,10
"490",2,30,50
"491",11,32,10
"492",1,22,1
"493",6,35,20
"494",1,2,7
"495",19,17,34
"496",1,1,1
"497",2,2,3
"498",3,14,40
"499",4,8,48
"500",1,38,15
"501",25,1,29
"502",5,1,1
"503",5,38,44
"504",2,2,2
"505",4,23,25
"506",14,26,3
"507",9,13,13
"508",6,48,18
"509",2,29,27
"510",1,35,1
"511",4,1,16
"512",3,50,12
"513",1,10,1
"514",1,9,1
"515",1,36,1
"516",3,31,8
"517",5,5,37
"518",1,4,19
"519",24,2,48
"520",23,26,2
"521",1,39,13
"522",6,20,42
"523",1,13,30
"524",18,41,34
"525",1,1,9
"526",2,26,16
"527",2,3,21
"528",5,29,20
"529",12,21,3
"530",9,35,49
"531",11,11,28
"532",1,21,3
"533",1,2,28
"534",1,21,8
"535",10,17,47
"536",1,3,25
"537",2,12,24
"538",1,6,8
"539",1,5,2
"540",11,48,16
"541",6,21,19
"542",19,12,18
"543",1,15,23
"544",8,1,1
"545",5,3,3
"546",3,28,20
"547",2,6,14
"548",19,39,19
"549",9,33,3
"550",1,4,12
"551",1,8,33
"552",1,8,5
"553",2,4,4
"554",3,4,41
"555",1,1,6
"556",1,12,1
"557",2,2,22
"558",11,37,18
"559",1,2,21
"560",2,5,3
"561",3,3,16
"562",1,4,3
"563",1,7,42
"564",1,1,6
"565",1,20,10
"566",2,2,27
"567",3,18,4
"568",5,2,15
"569",1,1,3
"570",2,44,28
"571",6,3,10
"572",5,10,42
"573",22,13,21
"574",22,15,1
"575",1,14,34
"576",11,2,7
"577",1,14,19
